id,nome,tipo,autor,plataforma,url,tamanho_mb,corpo,prioridade,notas
COL01,BDOR 2024 Female Collection by Kirax,colecao_feminina,Kirax,loverslab,https://www.loverslab.com/files/file/34130-bdor-2024-female-collection-by-kirax/,4000,3BA,1,26 outfits; Drive+Mega no post; nao sobrepoe Team TAL; requer HDT-SMP
COL02,BDOR 2024 Male Collection By Kirax,colecao_masculina,Kirax,loverslab,https://www.loverslab.com/files/file/34339-bdor-2024-male-collection-by-kirax/,6000,SOS/SAM,1,86 outfits; inclui cavalos BDOR; Drive+Mega no post
COL03,BDOR Complete Collection - Full Release SE SMP (KiraxSkyrim),colecao_masculina,KiraxSkyrim,gamer-mods,https://gamer-mods.ru/load/skyrim_se/bronja/kiraxskyrim_bdor_complete_se/167-1-0-13207,1900,SOS/SAM,1,Main 1.9GB + Dye Kit 123MB + Addon SAM; versao 14.12.2021
COL04,[SE] BDOR Pack by Team TAL v1.6,pack_team_tal,Skyrim Modding Team & TAL,gamer-mods,https://gamer-mods.ru/load/skyrim_se/bronja/bdor_pack_se_by_skyrim_modding_team_tal/167-1-0-8773,840,UNP/UUNP,1,Inclui HDT SSE 1.5.80; 840MB; v1.6
COL05,[SE] BDOR Pack by Team TAL v2.0 SMP,pack_team_tal,Team TAL,gamer-mods,https://gamer-mods.ru/load/skyrim_le/bronja_odezhda_cbbe_unp_hdt/le_bdor_pack_by_team_tal_v2_0/11-1-0-10789,1300,CBBE/UNP,1,Achar bloco SE v2.0 SMP na pagina; 27.01.2022
COL06,BDOR Complete Collection by Kirax (LoversLab #20287),colecao_masculina,Kirax,loverslab,https://www.loverslab.com/files/file/20287-bdor-complete-collection-by-kirax/,3000,SOS/SAM,2,versao anterior a 2024; bom fallback
COL07,BDO Armors Collection SMP SE v1.1 (THBG),pack_thbg,THBossGamer,patreon,https://www.patreon.com/posts/bdo-armors-smp-1-29482058,800,CBBE,1,8 outfits: Dark Knight, DK Floree, Elf, Lady Lucien, LumiK, Red Oni, Mystic Banha/Dhyana
COL08,BDO Dark Knight Pack HDT v1.6 (SE) (THBG),pack_thbg,THBossGamer,patreon,https://www.patreon.com/THBossGamer/posts/bdo-dark-knight-29209849,500,CBBE,1,Clead + Dark Knight + KunNight Cat
COL09,BDO Sorceress Armor collection HDT SMP SE v1.2 (THBG),pack_thbg,THBossGamer,patreon,https://www.patreon.com/THBossGamer/posts/bdo-sorceress-se-47928294,600,CBBE,1,Ataraxia, Karlstein, Milren Fedora, Rosa Le Dessous, Dobart
COL10,BDO Valoren CBBE SSE SMP (immyneedscake),set_acessorios,immyneedscake,patreon,https://www.patreon.com/posts/cbbe-sse-bdo-38485489,300,CBBE,2,tambem em https://www.immyneedscake.com/skyrim-se-mods/bdo-valoren
COL11,BDO Dark Knight Sin Terrna CBBE SE (immyneedscake),set_acessorios,immyneedscake,web,https://www.immyneedscake.com/skyrim-se-mods/dark-knight-sin-terrna,300,CBBE,2,page tem botao Download
COL12,Preservacao gnomadgnomod (BDOR LE/SE conv),preservacao,gnomadgnomod,patreon-collect,https://www.patreon.com/posts/skyrim-mods-uunp-69471249,5000,varios,2,coletar links MediaFire BDO/BDOR do post; usar --somente-se
COL13,[Dint999] BDOR Hairs SSE (cabelos),cabelos,dint999,patreon,https://www.patreon.com/posts/wip-bdor-hair-se-67159749,300,HDT-SMP,2,v0.17..0.23; espelho Baidu 0.22: https://pan.baidu.com/s/1kT7QVnwaFTCCbT5el9b2XQ?pwd=ensr
COL14,BDO BGM (trilha sonora),musica,desconhecido,nexus,https://www.nexusmods.com/skyrim/mods/87804,100,-,3,origem LE; converter p/ SE (xwm) ou buscar port SE
