id,nome,categoria,escopo,autores,corpo,versao_observada,disponibilidade,verificacao,consultado_em,requisitos_parciais,lista_requisitos_consultada,redistribuicao,url_fonte,observacoes,arquivo_na_release
kirax-female-2024,BDOR 2024 Female Collection by Kirax,packs,principal,Kirax001,3BA,1.0.0,page_available,page_read,2026-09-06,HDT-SMP; 3BA (corpo dos trajes),nao,unverified,https://www.loverslab.com/files/file/34130-bdor-2024-female-collection-by-kirax/,"A página indica obtenção por forja ou AddItemMenu. | 26 é a contagem anunciada pelo autor, não auditada dentro do arquivo. | A página descreve links Google Drive e Mega; o download final não foi testado. | Não somar os trajes às entradas deste catálogo como se fossem mods independentes.",nao
kirax-male-2024,BDOR 2024 Male Collection By Kirax,packs,principal,Kirax001,masculino,1.0.0,page_available,page_read,2026-09-06,HDT-SMP; XP32 Skeleton,nao,unverified,https://www.loverslab.com/files/file/34339-bdor-2024-male-collection-by-kirax/,A página indica obtenção por forja ou AddItemMenu. | 86 é a contagem anunciada pelo autor; não foi auditada nem deduplicada contra outros packs. | A instrução do autor pede que XP32 vença os conflitos de esqueleto. Não confundir prioridade de arquivos com ordem de plugins.,nao
souichirou-bdor-3ba,Team TAL - BDOR Pack SMP Vol2.0 3BA,packs,principal,Souichirou; Team TAL,3BA,1.5 (índice),unverified,search_index,2026-09-06,3BA; SMP,nao,unverified,https://schaken-mods.com/file/team-tal-bdor-pack-smp-vol20-3ba,"O índice consultado anuncia versão 1.5, tamanho 1,98 GB e correção opcional do ESPFE. Valores não conferidos em um arquivo baixado. | O título Vol2.0 e a versão do arquivo 1.5 são campos diferentes. | Escolher uma base do pack; não sobrepor automaticamente com outros ports do mesmo conteúdo.",nao
tal-pack-se-16,BDOR Pack SE by Skyrim Modding Team & TAL v1.6,packs,historico,Skyrim Modding Team; Team TAL,,1.6 (título),missing_download,page_read,2026-09-06,,nao,unverified,https://www.patreon.com/takealook/posts/se-bdor-pack-se-25666009,A página avisa que o Patreon da equipe responsável pelo port foi excluído. | A leitura da publicação não apresentou um arquivo de download utilizável. | Não tratar o post histórico como download validado.,nao
kirax-complete-legacy,BDOR Complete Collection by Kirax (publicação antiga),packs,historico,Kirax,,,missing_page,page_read,2026-09-06,,nao,unverified,https://www.loverslab.com/files/file/20287-bdor-complete-collection-by-kirax/,A URL retornou a mensagem de item não localizado (2D161/1). Não foi buscado mirror de terceiros.,nao
tal-karlstein,DM BDOR Karlstein — port SE,armaduras,principal,Team TAL,,,page_available,page_read,2026-09-06,XPMSSE; RaceMenu / NiOverride; RaceMenu High Heels; HDT-SMP para SE,nao,forbidden,https://www.patreon.com/takealook/posts/se-dm-bdor-by-29777641,O autor registra correção do FOMOD em 11/09/2019.,nao
tal-eclipse,DM BDOR Eclipse — port SE,armaduras,principal,Team TAL,UNP; UUNP,,page_available,page_read,2026-09-06,XPMSSE; RaceMenu / NiOverride; RaceMenu High Heels; HDT-SMP para SE; texturas UNP/UUNP,nao,forbidden,https://www.patreon.com/takealook/posts/se-dm-bdor-by-31633824,"Esta edição SE não inclui a capa, segundo o autor. | O autor registra ajuste do circlet e do ESP em 18/11/2019.",nao
tal-lemoria,DM BDOR Lemoria — port SE,armaduras,principal,Team TAL,UNP; UUNP,,page_available,page_read,2026-09-06,XPMSSE; RaceMenu / NiOverride; RaceMenu High Heels; HDT-SMP para SE; texturas UNP/UUNP,nao,forbidden,https://www.patreon.com/takealook/posts/se-dm-bdor-by-33371502,Conjunto combina conteúdo de Lemoria e Liberto; a fonte também credita Limetale.,nao
tal-ram-horn-witch,DM BDOR Ram Horn Witch — port SE,armaduras,principal,Team TAL; Rektas; Xing,CBBE,,page_available,page_read,2026-09-06,XPMSSE; RaceMenu / NiOverride; RaceMenu High Heels; HDT-SMP para SE; BodySlide,nao,forbidden,https://www.patreon.com/takealook/posts/se-dm-bdor-ram-34746196,"Conversão SE por Rektas e Xing, publicada pelo Team TAL. | O autor informa suporte somente a CBBE nesta conversão e exige gerar as peças no BodySlide.",nao
immy-valoren,BDO Valoren — immyneedscake,armaduras,principal,immyneedscake,CBBE,,unverified,search_index,2026-09-06,CBBE SE; BodySlide; AddItemMenu,nao,unverified,https://www.immyneedscake.com/skyrim-se-mods/bdo-valoren,"A fonte também lista HDT-SMP ou CBP Physics e XP32, mas comenta que alguns itens são opcionais ou incertos. Conferir a publicação antes de instalar. | Usar somente uma solução de high heels, conforme a página.",nao
